,ts,open,high,low,close,vol
22592,1758315300000,115307.99,115342.57,115282.44,115342.57,28.40834
22593,1758315600000,115342.56,115422.83,115320.0,115320.0,22.13617
22594,1758315900000,115320.01,115320.01,115306.07,115306.07,4.8145
22595,1758316200000,115306.07,115388.2,115306.07,115388.2,33.12056
22596,1758316500000,115388.2,115448.0,115388.19,115420.01,10.67808
22597,1758316800000,115420.01,115430.68,115396.78,115430.67,19.70103
22598,1758317100000,115430.67,115430.68,115409.15,115418.27,11.0878
22599,1758317400000,115418.27,115439.7,115418.26,115439.7,11.56345
22600,1758317700000,115439.7,115481.53,115439.69,115481.53,9.81664
22601,1758318000000,115481.53,115490.47,115464.0,115464.0,15.65073
22602,1758318300000,115464.01,115532.73,115464.0,115490.01,13.40421
22603,1758318600000,115490.02,115490.02,115443.24,115443.24,11.14736
22604,1758318900000,115443.24,115465.4,115431.03,115465.39,15.34241
22605,1758319200000,115465.39,115535.66,115465.39,115517.46,15.18645
22606,1758319500000,115517.47,115591.3,115517.46,115585.23,10.5978
22607,1758319800000,115585.22,115607.32,115545.24,115607.32,15.83516
22608,1758320100000,115607.32,115610.31,115564.32,115579.99,15.09494
22609,1758320400000,115580.0,115580.0,115545.11,115557.11,12.31954
22610,1758320700000,115557.12,115619.48,115557.12,115588.04,10.19226
22611,1758321000000,115588.04,115620.7,115588.04,115620.7,12.95619
22612,1758321300000,115620.69,115624.98,115606.61,115609.28,7.58283
22613,1758321600000,115609.28,115630.79,115588.11,115588.11,14.72062
22614,1758321900000,115588.11,115635.15,115588.11,115635.14,8.3942
22615,1758322200000,115635.15,115657.28,115615.1,115620.52,10.04103
22616,1758322500000,115620.52,115620.52,115613.21,115613.21,6.9404
22617,1758322800000,115613.21,115613.22,115580.0,115596.61,12.03669
22618,1758323100000,115596.61,115596.62,115543.0,115553.08,10.0981
22619,1758323400000,115553.08,115559.82,115500.0,115500.01,14.64099
22620,1758323700000,115500.01,115542.6,115500.0,115516.0,10.51031
